"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
8,-1446191758,"A_SPLIT",20,60,80,5,33,150
16,-1446144922,"A_SPLIT",20,60,80,10,40,100
24,-1446122733,"A_SPLIT",20,60,80,15,40,200
32,-1446104779,"A_SPLIT",20,60,80,15,33,150
40,-1446086441,"A_SPLIT",20,60,100,0,40,100
48,-1446060659,"A_SPLIT",20,60,100,5,40,200
56,-1446039715,"A_SPLIT",20,60,100,15,33,150
64,-1445991464,"A_SPLIT",20,60,100,20,40,100
72,-1445965494,"A_SPLIT",20,60,100,15,40,200
80,-1445947335,"A_SPLIT",20,60,120,5,33,150
88,-1445921590,"A_SPLIT",20,60,120,10,40,100
96,-1445873629,"A_SPLIT",20,60,120,15,40,200
104,-1445857709,"A_SPLIT",20,60,120,15,33,150
112,-1445809520,"A_SPLIT",20,80,80,0,40,100
120,-1445783972,"A_SPLIT",20,80,80,5,40,200
128,-1445766248,"A_SPLIT",20,80,80,15,33,150
136,-1445751345,"A_SPLIT",20,80,80,20,40,100
144,-1445706627,"A_SPLIT",20,80,80,15,40,200
152,-1445657112,"A_SPLIT",20,80,100,5,33,150
160,-1445609240,"A_SPLIT",20,80,100,10,40,100
168,-1445583089,"A_SPLIT",20,80,100,15,40,200
176,-1445564779,"A_SPLIT",20,80,100,15,33,150
184,-1445538598,"A_SPLIT",20,80,120,0,40,100
192,-1445512192,"A_SPLIT",20,80,120,5,40,200
200,-1445472544,"A_SPLIT",20,80,120,15,33,150
208,-1445439159,"A_SPLIT",20,80,120,20,40,100
216,-1445413763,"A_SPLIT",20,80,120,15,40,200
224,-1445380605,"A_SPLIT",20,100,80,5,33,150
232,-1445362465,"A_SPLIT",20,100,80,10,40,100
240,-1445343320,"A_SPLIT",20,100,80,15,40,200
248,-1445325004,"A_SPLIT",20,100,80,15,33,150
256,-1445302471,"A_SPLIT",20,100,100,0,40,100
264,-1445268473,"A_SPLIT",20,100,100,5,40,200
272,-1445250154,"A_SPLIT",20,100,100,15,33,150
280,-1445234637,"A_SPLIT",20,100,100,20,40,100
288,-1445209678,"A_SPLIT",20,100,100,15,40,200
296,-1445191148,"A_SPLIT",20,100,120,5,33,150
304,-1445164794,"A_SPLIT",20,100,120,10,40,100
312,-1445114183,"A_SPLIT",20,100,120,15,40,200
320,-1445093459,"A_SPLIT",20,100,120,15,33,150
328,-1445053251,"A_SPLIT",25,60,80,0,40,100
336,-1445005405,"A_SPLIT",25,60,80,5,40,200
344,-1444986882,"A_SPLIT",25,60,80,15,33,150
352,-1444938905,"A_SPLIT",25,60,80,20,40,100
360,-1444908160,"A_SPLIT",25,60,80,15,40,200
368,-1444889635,"A_SPLIT",25,60,100,5,33,150
376,-1444838400,"A_SPLIT",25,60,100,10,40,100
384,-1444810025,"A_SPLIT",25,60,100,15,40,200
392,-1444762513,"A_SPLIT",25,60,100,15,33,150
400,-1444728134,"A_SPLIT",25,60,120,0,40,100
408,-1444677226,"A_SPLIT",25,60,120,5,40,200
416,-1444629252,"A_SPLIT",25,60,120,15,33,150
424,-1444602490,"A_SPLIT",25,60,120,20,40,100
432,-1444582965,"A_SPLIT",25,60,120,15,40,200
440,-1444535173,"A_SPLIT",25,80,80,5,33,150
448,-1444516658,"A_SPLIT",25,80,80,10,40,100
456,-1444468605,"A_SPLIT",25,80,80,15,40,200
464,-1444452494,"A_SPLIT",25,80,80,15,33,150
472,-1444405236,"A_SPLIT",25,80,100,0,40,100
480,-1444380074,"A_SPLIT",25,80,100,5,40,200
488,-1444364566,"A_SPLIT",25,80,100,15,33,150
496,-1444319613,"A_SPLIT",25,80,100,20,40,100
504,-1444300888,"A_SPLIT",25,80,100,15,40,200
512,-1444282376,"A_SPLIT",25,80,120,5,33,150
520,-1444259849,"A_SPLIT",25,80,120,10,40,100
528,-1444234288,"A_SPLIT",25,80,120,15,40,200
536,-1444189264,"A_SPLIT",25,80,120,15,33,150
544,-1444166734,"A_SPLIT",25,100,80,0,40,100
552,-1444141588,"A_SPLIT",25,100,80,5,40,200
560,-1444125888,"A_SPLIT",25,100,80,15,33,150
568,-1444107567,"A_SPLIT",25,100,80,20,40,100
576,-1444082005,"A_SPLIT",25,100,80,15,40,200
584,-1444063290,"A_SPLIT",25,100,100,5,33,150
592,-1444034723,"A_SPLIT",25,100,100,10,40,100
600,-1443986157,"A_SPLIT",25,100,100,15,40,200
608,-1443968237,"A_SPLIT",25,100,100,15,33,150
616,-1443945508,"A_SPLIT",25,100,120,0,40,100
624,-1443920166,"A_SPLIT",25,100,120,5,40,200
632,-1443889010,"A_SPLIT",25,100,120,15,33,150
640,-1443863267,"A_SPLIT",25,100,120,20,40,100
648,-1443837919,"A_SPLIT",25,100,120,15,40,200
656,-1443819605,"A_RUSH",20,60,80,5,33,150
664,-1443794806,"A_RUSH",20,60,80,10,40,100
672,-1443769668,"A_RUSH",20,60,80,15,40,200
680,-1443739297,"A_RUSH",20,60,80,15,33,150
688,-1443713958,"A_RUSH",20,60,100,0,40,100
696,-1443689019,"A_RUSH",20,60,100,5,40,200
704,-1443663279,"A_RUSH",20,60,100,15,33,150
712,-1443638332,"A_RUSH",20,60,100,20,40,100
720,-1443613384,"A_RUSH",20,60,100,15,40,200
728,-1443588035,"A_RUSH",20,60,120,5,33,150
736,-1443562675,"A_RUSH",20,60,120,10,40,100
744,-1443537735,"A_RUSH",20,60,120,15,40,200
752,-1443512800,"A_RUSH",20,60,120,15,33,150
760,-1443487662,"A_RUSH",20,80,80,0,40,100
768,-1443462718,"A_RUSH",20,80,80,5,40,200
776,-1443439610,"A_RUSH",20,80,80,15,33,150
784,-1443413863,"A_RUSH",20,80,80,20,40,100
792,-1443388920,"A_RUSH",20,80,80,15,40,200
800,-1443370999,"A_RUSH",20,80,100,5,33,150
808,-1443345842,"A_RUSH",20,80,100,10,40,100
816,-1443320900,"A_RUSH",20,80,100,15,40,200
824,-1443295546,"A_RUSH",20,80,100,15,33,150
832,-1443269800,"A_RUSH",20,80,120,0,40,100
840,-1443245458,"A_RUSH",20,80,120,5,40,200
848,-1443220305,"A_RUSH",20,80,120,15,33,150
856,-1443195366,"A_RUSH",20,80,120,20,40,100
864,-1443170227,"A_RUSH",20,80,120,15,40,200
872,-1443145076,"A_RUSH",20,100,80,5,33,150
880,-1443120121,"A_RUSH",20,100,80,10,40,100
888,-1443086321,"A_RUSH",20,100,80,15,40,200
896,-1443060972,"A_RUSH",20,100,80,15,33,150
904,-1443035836,"A_RUSH",20,100,100,0,40,100
