"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
4,-1465392069,"A_SPLIT",20,80,100,5,33,100
8,-1465358499,"A_SPLIT",20,80,100,10,33,150
12,-1465332362,"A_SPLIT",20,80,100,15,33,200
16,-1465299348,"A_SPLIT",20,80,100,25,33,100
20,-1465281232,"A_RUSH",20,80,100,0,33,150
24,-1465255901,"A_RUSH",20,80,100,5,33,200
28,-1465229004,"A_RUSH",20,80,100,15,33,100
32,-1465204270,"A_RUSH",20,80,100,20,33,150
36,-1465179335,"A_RUSH",20,80,100,25,33,200
40,-1465153752,"B_SPLIT",20,80,100,5,33,100
44,-1465127599,"B_SPLIT",20,80,100,10,33,150
48,-1465097327,"B_SPLIT",20,80,100,15,33,200
52,-1465069576,"B_SPLIT",20,80,100,25,33,100
56,-1465040426,"B_RUSH",20,80,100,0,33,150
60,-1465013689,"B_RUSH",20,80,100,5,33,200
64,-1464987353,"B_RUSH",20,80,100,15,33,100
68,-1464957773,"B_RUSH",20,80,100,20,33,150
72,-1464931811,"B_RUSH",20,80,100,25,33,200
3,-1465391988,"A_SPLIT",20,80,100,0,33,200
7,-1465373106,"A_SPLIT",20,80,100,10,33,100
11,-1465340054,"A_SPLIT",20,80,100,15,33,150
15,-1465314313,"A_SPLIT",20,80,100,20,33,200
19,-1465292376,"A_RUSH",20,80,100,0,33,100
23,-1465266830,"A_RUSH",20,80,100,5,33,150
27,-1465236906,"A_RUSH",20,80,100,10,33,200
31,-1465211548,"A_RUSH",20,80,100,20,33,100
35,-1465186797,"A_RUSH",20,80,100,25,33,150
39,-1465153629,"B_SPLIT",20,80,100,0,33,200
43,-1465123053,"B_SPLIT",20,80,100,10,33,100
47,-1465096710,"B_SPLIT",20,80,100,15,33,150
51,-1465069563,"B_SPLIT",20,80,100,20,33,200
55,-1465042221,"B_RUSH",20,80,100,0,33,100
59,-1465016231,"B_RUSH",20,80,100,5,33,150
63,-1464986211,"B_RUSH",20,80,100,10,33,200
67,-1464959663,"B_RUSH",20,80,100,20,33,100
71,-1464933517,"B_RUSH",20,80,100,25,33,150
2,-1465392211,"A_SPLIT",20,80,100,0,33,150
6,-1465365988,"A_SPLIT",20,80,100,5,33,200
10,-1465336192,"A_SPLIT",20,80,100,15,33,100
14,-1465310452,"A_SPLIT",20,80,100,20,33,150
18,-1465288126,"A_SPLIT",20,80,100,25,33,200
22,-1465278066,"A_RUSH",20,80,100,5,33,100
26,-1465253508,"A_RUSH",20,80,100,10,33,150
30,-1465228149,"A_RUSH",20,80,100,15,33,200
34,-1465202017,"A_RUSH",20,80,100,25,33,100
38,-1465168492,"B_SPLIT",20,80,100,0,33,150
42,-1465141351,"B_SPLIT",20,80,100,5,33,200
46,-1465106782,"B_SPLIT",20,80,100,15,33,100
50,-1465077232,"B_SPLIT",20,80,100,20,33,150
54,-1465061332,"B_SPLIT",20,80,100,25,33,200
58,-1465029650,"B_RUSH",20,80,100,5,33,100
62,-1465003491,"B_RUSH",20,80,100,10,33,150
66,-1464977353,"B_RUSH",20,80,100,15,33,200
70,-1464950417,"B_RUSH",20,80,100,25,33,100
1,-1465392099,"A_SPLIT",20,80,100,0,33,100
5,-1465360589,"A_SPLIT",20,80,100,5,33,150
9,-1465331366,"A_SPLIT",20,80,100,10,33,200
13,-1465313261,"A_SPLIT",20,80,100,20,33,100
17,-1465278841,"A_SPLIT",20,80,100,25,33,150
21,-1465248599,"A_RUSH",20,80,100,0,33,200
25,-1465223054,"A_RUSH",20,80,100,10,33,100
29,-1465198527,"A_RUSH",20,80,100,15,33,150
33,-1465173383,"A_RUSH",20,80,100,20,33,200
37,-1465150450,"B_SPLIT",20,80,100,0,33,100
41,-1465123306,"B_SPLIT",20,80,100,5,33,150
45,-1465096161,"B_SPLIT",20,80,100,10,33,200
49,-1465069017,"B_SPLIT",20,80,100,20,33,100
53,-1465042881,"B_SPLIT",20,80,100,25,33,150
57,-1465016114,"B_RUSH",20,80,100,0,33,200
61,-1464989576,"B_RUSH",20,80,100,10,33,100
65,-1464955824,"B_RUSH",20,80,100,15,33,150
69,-1464929090,"B_RUSH",20,80,100,20,33,200
