"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
2,-1477083412,"A_SPLIT",20,80,100,0,33,150
4,-1477051801,"A_SPLIT",20,80,100,1,33,100
6,-1477025665,"A_SPLIT",20,80,100,1,33,200
8,-1476991699,"A_SPLIT",20,80,100,2,33,150
10,-1476959603,"A_SPLIT",20,80,100,3,33,100
12,-1476933669,"A_SPLIT",20,80,100,3,33,200
14,-1476901388,"A_SPLIT",20,80,100,4,33,150
16,-1476870018,"A_RUSH",20,80,100,0,33,100
18,-1476845091,"A_RUSH",20,80,100,0,33,200
20,-1476819348,"A_RUSH",20,80,100,1,33,150
22,-1476794214,"A_RUSH",20,80,100,2,33,100
24,-1476769486,"A_RUSH",20,80,100,2,33,200
26,-1476744154,"A_RUSH",20,80,100,3,33,150
28,-1476719215,"A_RUSH",20,80,100,4,33,100
30,-1476694479,"A_RUSH",20,80,100,4,33,200
32,-1476669538,"B_SPLIT",20,80,100,0,33,150
34,-1476635148,"B_SPLIT",20,80,100,1,33,100
36,-1476608409,"B_SPLIT",20,80,100,1,33,200
38,-1476580668,"B_SPLIT",20,80,100,2,33,150
40,-1476550511,"B_SPLIT",20,80,100,3,33,100
42,-1476523767,"B_SPLIT",20,80,100,3,33,200
44,-1476489079,"B_SPLIT",20,80,100,4,33,150
46,-1476462544,"B_RUSH",20,80,100,0,33,100
48,-1476436203,"B_RUSH",20,80,100,0,33,200
50,-1476404063,"B_RUSH",20,80,100,1,33,150
52,-1476377516,"B_RUSH",20,80,100,2,33,100
54,-1476351578,"B_RUSH",20,80,100,2,33,200
56,-1476325044,"B_RUSH",20,80,100,3,33,150
58,-1476298307,"B_RUSH",20,80,100,4,33,100
60,-1476271969,"B_RUSH",20,80,100,4,33,200
1,-1477083459,"A_SPLIT",20,80,100,0,33,100
3,-1477046881,"A_SPLIT",20,80,100,0,33,200
5,-1477030991,"A_SPLIT",20,80,100,1,33,150
7,-1477012292,"A_SPLIT",20,80,100,2,33,100
9,-1476986354,"A_SPLIT",20,80,100,2,33,200
11,-1476955005,"A_SPLIT",20,80,100,3,33,150
13,-1476920586,"A_SPLIT",20,80,100,4,33,100
15,-1476895258,"A_SPLIT",20,80,100,4,33,200
17,-1476860008,"A_RUSH",20,80,100,0,33,150
19,-1476834467,"A_RUSH",20,80,100,1,33,100
21,-1476809308,"A_RUSH",20,80,100,1,33,200
23,-1476784168,"A_RUSH",20,80,100,2,33,150
25,-1476758833,"A_RUSH",20,80,100,3,33,100
27,-1476734098,"A_RUSH",20,80,100,3,33,200
29,-1476708354,"A_RUSH",20,80,100,4,33,150
31,-1476683018,"B_SPLIT",20,80,100,0,33,100
33,-1476656876,"B_SPLIT",20,80,100,0,33,200
35,-1476623526,"B_SPLIT",20,80,100,1,33,150
37,-1476596785,"B_SPLIT",20,80,100,2,33,100
39,-1476569842,"B_SPLIT",20,80,100,2,33,200
41,-1476542496,"B_SPLIT",20,80,100,3,33,150
43,-1476515143,"B_SPLIT",20,80,100,4,33,100
45,-1476488803,"B_SPLIT",20,80,100,4,33,200
47,-1476455632,"B_RUSH",20,80,100,0,33,150
49,-1476429098,"B_RUSH",20,80,100,1,33,100
51,-1476402760,"B_RUSH",20,80,100,1,33,200
53,-1476376217,"B_RUSH",20,80,100,2,33,150
55,-1476349680,"B_RUSH",20,80,100,3,33,100
57,-1476323340,"B_RUSH",20,80,100,3,33,200
59,-1476296586,"B_RUSH",20,80,100,4,33,150
