"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
16,-1449400380,"A_SPLIT",20,80,100,25,33,100
32,-1449310998,"A_RUSH",20,80,100,20,33,150
48,-1449284667,"B_SPLIT",20,80,100,15,33,200
64,-1449251765,"B_RUSH",20,80,100,15,33,100
15,-1449397269,"A_SPLIT",20,80,100,20,33,200
31,-1449383053,"A_RUSH",20,80,100,20,33,100
47,-1449357894,"B_SPLIT",20,80,100,15,33,150
63,-1449330459,"B_RUSH",20,80,100,10,33,200
14,-1449395702,"A_SPLIT",20,80,100,20,33,150
30,-1449377401,"A_RUSH",20,80,100,15,33,200
46,-1449348495,"B_SPLIT",20,80,100,15,33,100
62,-1449319395,"B_RUSH",20,80,100,10,33,150
13,-1449396141,"A_SPLIT",20,80,100,20,33,100
29,-1449368885,"A_RUSH",20,80,100,15,33,150
45,-1449343422,"B_SPLIT",20,80,100,10,33,200
61,-1449317529,"B_RUSH",20,80,100,10,33,100
12,-1449398138,"A_SPLIT",20,80,100,15,33,200
28,-1449362831,"A_RUSH",20,80,100,15,33,100
44,-1449337135,"B_SPLIT",20,80,100,10,33,150
60,-1449309175,"B_RUSH",20,80,100,5,33,200
11,-1449400250,"A_SPLIT",20,80,100,15,33,150
27,-1449309353,"A_RUSH",20,80,100,10,33,200
43,-1449283104,"B_SPLIT",20,80,100,10,33,100
59,-1449256030,"B_RUSH",20,80,100,5,33,150
10,-1449397406,"A_SPLIT",20,80,100,15,33,100
26,-1449370903,"A_RUSH",20,80,100,10,33,150
42,-1449335126,"B_SPLIT",20,80,100,5,33,200
58,-1449305506,"B_RUSH",20,80,100,5,33,100
9,-1449398936,"A_SPLIT",20,80,100,10,33,200
25,-1449382621,"A_RUSH",20,80,100,10,33,100
41,-1449356532,"B_SPLIT",20,80,100,5,33,150
57,-1449328426,"B_RUSH",20,80,100,0,33,200
8,-1449397055,"A_SPLIT",20,80,100,10,33,150
24,-1449319533,"A_RUSH",20,80,100,5,33,200
40,-1449245564,"B_SPLIT",20,80,100,5,33,100
56,-1449217991,"B_RUSH",20,80,100,0,33,150
72,-1449191435,"B_RUSH",20,80,100,25,33,200
7,-1449396647,"A_SPLIT",20,80,100,10,33,100
23,-1449370456,"A_RUSH",20,80,100,5,33,150
39,-1449343948,"B_SPLIT",20,80,100,0,33,200
55,-1449255724,"B_RUSH",20,80,100,0,33,100
71,-1449229306,"B_RUSH",20,80,100,25,33,150
6,-1449400514,"A_SPLIT",20,80,100,5,33,200
22,-1449302051,"A_RUSH",20,80,100,5,33,100
38,-1449276539,"B_SPLIT",20,80,100,0,33,150
54,-1449247984,"B_SPLIT",20,80,100,25,33,200
70,-1449216197,"B_RUSH",20,80,100,25,33,100
5,-1449399542,"A_SPLIT",20,80,100,5,33,150
21,-1449300515,"A_RUSH",20,80,100,0,33,200
37,-1449274437,"B_SPLIT",20,80,100,0,33,100
53,-1449247943,"B_SPLIT",20,80,100,25,33,150
69,-1449221370,"B_RUSH",20,80,100,20,33,200
4,-1449397405,"A_SPLIT",20,80,100,5,33,100
20,-1449370010,"A_RUSH",20,80,100,0,33,150
36,-1449334843,"A_RUSH",20,80,100,25,33,200
52,-1449302878,"B_SPLIT",20,80,100,25,33,100
68,-1449275036,"B_RUSH",20,80,100,20,33,150
3,-1449398494,"A_SPLIT",20,80,100,0,33,200
19,-1449309944,"A_RUSH",20,80,100,0,33,100
35,-1449284346,"A_RUSH",20,80,100,25,33,150
51,-1449259296,"B_SPLIT",20,80,100,20,33,200
67,-1449232035,"B_RUSH",20,80,100,20,33,100
2,-1449399836,"A_SPLIT",20,80,100,0,33,150
18,-1449364910,"A_SPLIT",20,80,100,25,33,200
34,-1449348762,"A_RUSH",20,80,100,25,33,100
50,-1449322990,"B_SPLIT",20,80,100,20,33,150
66,-1449295294,"B_RUSH",20,80,100,15,33,200
1,-1449400041,"A_SPLIT",20,80,100,0,33,100
17,-1449376444,"A_SPLIT",20,80,100,25,33,150
33,-1449293549,"A_RUSH",20,80,100,20,33,200
49,-1449261886,"B_SPLIT",20,80,100,20,33,100
65,-1449235044,"B_RUSH",20,80,100,15,33,150
