"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
4297,-1333098313,"B_SPLIT",25,60,150,10,33,100
4305,-1333042189,"B_SPLIT",25,60,150,15,33,200
4313,-1333014826,"B_SPLIT",25,60,150,20,40,150
4321,-1332988655,"B_SPLIT",25,80,50,0,33,100
4329,-1332967520,"B_SPLIT",25,80,50,5,33,200
4337,-1332954226,"B_SPLIT",25,80,50,10,40,150
4345,-1332921858,"B_SPLIT",25,80,50,20,33,100
4353,-1332874009,"B_SPLIT",25,80,50,25,33,200
4361,-1332860935,"B_SPLIT",25,80,100,0,40,150
4369,-1332833583,"B_SPLIT",25,80,100,10,33,100
4377,-1332806831,"B_SPLIT",25,80,100,15,33,200
4385,-1332779886,"B_SPLIT",25,80,100,20,40,150
4393,-1332749311,"B_SPLIT",25,80,150,0,33,100
4401,-1332722748,"B_SPLIT",25,80,150,5,33,200
4409,-1332694782,"B_SPLIT",25,80,150,10,40,150
4417,-1332668224,"B_SPLIT",25,80,150,20,33,100
4425,-1332641873,"B_SPLIT",25,80,150,25,33,200
4433,-1332614723,"B_SPLIT",25,100,50,0,40,150
4441,-1332601433,"B_SPLIT",25,100,50,10,33,100
4449,-1332588146,"B_SPLIT",25,100,50,15,33,200
4457,-1332575461,"B_SPLIT",25,100,50,20,40,150
4465,-1332520159,"B_SPLIT",25,100,100,0,33,100
4473,-1332493411,"B_SPLIT",25,100,100,5,33,200
4481,-1332456411,"B_SPLIT",25,100,100,10,40,150
4489,-1332429241,"B_SPLIT",25,100,100,20,33,100
4497,-1332402278,"B_SPLIT",25,100,100,25,33,200
4505,-1332375328,"B_SPLIT",25,100,150,0,40,150
4513,-1332348179,"B_SPLIT",25,100,150,10,33,100
4521,-1332321832,"B_SPLIT",25,100,150,15,33,200
4529,-1332294866,"B_SPLIT",25,100,150,20,40,150
4537,-1332268087,"B_RUSH",10,60,50,0,33,100
4545,-1332241943,"B_RUSH",10,60,50,5,33,200
4553,-1332183932,"B_RUSH",10,60,50,10,40,150
4561,-1332171855,"B_RUSH",10,60,50,20,33,100
4569,-1332159764,"B_RUSH",10,60,50,25,33,200
4577,-1332144663,"B_RUSH",10,60,100,0,40,150
4585,-1332118313,"B_RUSH",10,60,100,10,33,100
4593,-1332091944,"B_RUSH",10,60,100,15,33,200
4601,-1332066046,"B_RUSH",10,60,100,20,40,150
4609,-1332039890,"B_RUSH",10,60,150,0,33,100
4617,-1332013869,"B_RUSH",10,60,150,5,33,200
4625,-1331986707,"B_RUSH",10,60,150,10,40,150
4633,-1331960760,"B_RUSH",10,60,150,20,33,100
4641,-1331934608,"B_RUSH",10,60,150,25,33,200
4649,-1331907823,"B_RUSH",10,80,50,0,40,150
4657,-1331858309,"B_RUSH",10,80,50,10,33,100
4665,-1331831735,"B_RUSH",10,80,50,15,33,200
4673,-1331800985,"B_RUSH",10,80,50,20,40,150
4681,-1331788497,"B_RUSH",10,80,100,0,33,100
4689,-1331762155,"B_RUSH",10,80,100,5,33,200
4697,-1331735403,"B_RUSH",10,80,100,10,40,150
4705,-1331705432,"B_RUSH",10,80,100,20,33,100
4713,-1331678886,"B_RUSH",10,80,100,25,33,200
4721,-1331652121,"B_RUSH",10,80,150,0,40,150
4729,-1331625566,"B_RUSH",10,80,150,10,33,100
4737,-1331599217,"B_RUSH",10,80,150,15,33,200
4745,-1331573069,"B_RUSH",10,80,150,20,40,150
4753,-1331546917,"B_RUSH",10,100,50,0,33,100
4761,-1331514932,"B_RUSH",10,100,50,5,33,200
4769,-1331482171,"B_RUSH",10,100,50,10,40,150
4777,-1331455806,"B_RUSH",10,100,50,20,33,100
4785,-1331429626,"B_RUSH",10,100,50,25,33,200
4793,-1331397869,"B_RUSH",10,100,100,0,40,150
4801,-1331371321,"B_RUSH",10,100,100,10,33,100
4809,-1331344971,"B_RUSH",10,100,100,15,33,200
4817,-1331294596,"B_RUSH",10,100,100,20,40,150
4825,-1331268227,"B_RUSH",10,100,150,0,33,100
4833,-1331242070,"B_RUSH",10,100,150,5,33,200
4841,-1331215115,"B_RUSH",10,100,150,10,40,150
4849,-1331188965,"B_RUSH",10,100,150,20,33,100
4857,-1331133469,"B_RUSH",10,100,150,25,33,200
4865,-1331106906,"B_RUSH",25,60,50,0,40,150
4873,-1331094430,"B_RUSH",25,60,50,10,33,100
4881,-1331073069,"B_RUSH",25,60,50,15,33,200
4889,-1331057156,"B_RUSH",25,60,50,20,40,150
4897,-1331030407,"B_RUSH",25,60,100,0,33,100
4905,-1331004061,"B_RUSH",25,60,100,5,33,200
4913,-1330977111,"B_RUSH",25,60,100,10,40,150
4921,-1330943115,"B_RUSH",25,60,100,20,33,100
4929,-1330917152,"B_RUSH",25,60,100,25,33,200
4937,-1330890987,"B_RUSH",25,60,150,0,40,150
4945,-1330865039,"B_RUSH",25,60,150,10,33,100
4953,-1330838684,"B_RUSH",25,60,150,15,33,200
4961,-1330812331,"B_RUSH",25,60,150,20,40,150
4969,-1330786354,"B_RUSH",25,80,50,0,33,100
4977,-1330760003,"B_RUSH",25,80,50,5,33,200
4985,-1330744292,"B_RUSH",25,80,50,10,40,150
4993,-1330688921,"B_RUSH",25,80,50,20,33,100
5001,-1330662781,"B_RUSH",25,80,50,25,33,200
5009,-1330647262,"B_RUSH",25,80,100,0,40,150
5017,-1330620922,"B_RUSH",25,80,100,10,33,100
5025,-1330595358,"B_RUSH",25,80,100,15,33,200
5033,-1330564408,"B_RUSH",25,80,100,20,40,150
5041,-1330538645,"B_RUSH",25,80,150,0,33,100
5049,-1330512710,"B_RUSH",25,80,150,5,33,200
5057,-1330485963,"B_RUSH",25,80,150,10,40,150
5065,-1330460014,"B_RUSH",25,80,150,20,33,100
5073,-1330434068,"B_RUSH",25,80,150,25,33,200
5081,-1330407507,"B_RUSH",25,100,50,0,40,150
5089,-1330394806,"B_RUSH",25,100,50,10,33,100
5097,-1330368246,"B_RUSH",25,100,50,15,33,200
5105,-1330338104,"B_RUSH",25,100,50,20,40,150
5113,-1330286001,"B_RUSH",25,100,100,0,33,100
5121,-1330259639,"B_RUSH",25,100,100,5,33,200
5129,-1330233461,"B_RUSH",25,100,100,10,40,150
5137,-1330207109,"B_RUSH",25,100,100,20,33,100
5145,-1330181328,"B_RUSH",25,100,100,25,33,200
5153,-1330149553,"B_RUSH",25,100,150,0,40,150
5161,-1330123006,"B_RUSH",25,100,150,10,33,100
5169,-1330096847,"B_RUSH",25,100,150,15,33,200
5177,-1330069485,"B_RUSH",25,100,150,20,40,150
5185,-1330043340,"A_SPLIT",10,60,50,0,33,100
5193,-1330028445,"A_SPLIT",10,60,50,5,33,200
5201,-1330018142,"A_SPLIT",10,60,50,10,40,150
5209,-1329999608,"A_SPLIT",10,60,50,20,33,100
5217,-1329982106,"A_SPLIT",10,60,50,25,33,200
5225,-1329966804,"A_SPLIT",10,60,100,0,40,150
5233,-1329946485,"A_SPLIT",10,60,100,10,33,100
5241,-1329911877,"A_SPLIT",10,60,100,15,33,200
5249,-1329880124,"A_SPLIT",10,60,100,20,40,150
5257,-1329832437,"A_SPLIT",10,60,150,0,33,100
5265,-1329806331,"A_SPLIT",10,60,150,5,33,200
5273,-1329771943,"A_SPLIT",10,60,150,10,40,150
5281,-1329745995,"A_SPLIT",10,60,150,20,33,100
5289,-1329720039,"A_SPLIT",10,60,150,25,33,200
5297,-1329694083,"A_SPLIT",10,80,50,0,40,150
5305,-1329675744,"A_SPLIT",10,80,50,10,33,100
