"run","randomSeed","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
2,-1533634769,20,80,100,1,33,200
4,-1533618782,20,80,100,3,33,200
6,-1533592039,20,80,100,5,33,200
8,-1533573140,20,80,100,7,33,200
10,-1533538745,20,80,100,9,33,200
12,-1533508124,20,80,100,11,33,200
14,-1533476387,20,80,100,13,33,200
16,-1533451047,20,80,100,15,33,200
1,-1533634817,20,80,100,0,33,200
3,-1533618631,20,80,100,2,33,200
5,-1533590865,20,80,100,4,33,200
7,-1533565530,20,80,100,6,33,200
9,-1533547220,20,80,100,8,33,200
11,-1533519068,20,80,100,10,33,200
13,-1533493116,20,80,100,12,33,200
15,-1533469580,20,80,100,14,33,200
