"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
8,-1464671275,"A_SPLIT",20,80,100,10,33,150
16,-1464639633,"A_SPLIT",20,80,100,25,33,100
24,-1464621253,"A_RUSH",20,80,100,5,33,200
32,-1464595648,"A_RUSH",20,80,100,20,33,150
40,-1464570081,"B_SPLIT",20,80,100,5,33,100
48,-1464544360,"B_SPLIT",20,80,100,15,33,200
56,-1464516800,"B_RUSH",20,80,100,0,33,150
64,-1464489231,"B_RUSH",20,80,100,15,33,100
72,-1464462868,"B_RUSH",20,80,100,25,33,200
7,-1464671208,"A_SPLIT",20,80,100,10,33,100
15,-1464649356,"A_SPLIT",20,80,100,20,33,200
23,-1464631194,"A_RUSH",20,80,100,5,33,150
31,-1464605824,"A_RUSH",20,80,100,20,33,100
39,-1464581041,"B_SPLIT",20,80,100,0,33,200
47,-1464552856,"B_SPLIT",20,80,100,15,33,150
55,-1464525851,"B_RUSH",20,80,100,0,33,100
63,-1464499685,"B_RUSH",20,80,100,10,33,200
71,-1464472491,"B_RUSH",20,80,100,25,33,150
6,-1464670725,"A_SPLIT",20,80,100,5,33,200
14,-1464651757,"A_SPLIT",20,80,100,20,33,150
22,-1464638230,"A_RUSH",20,80,100,5,33,100
30,-1464613638,"A_RUSH",20,80,100,15,33,200
38,-1464588466,"B_SPLIT",20,80,100,0,33,150
46,-1464561299,"B_SPLIT",20,80,100,15,33,100
54,-1464537769,"B_SPLIT",20,80,100,25,33,200
62,-1464502572,"B_RUSH",20,80,100,10,33,150
70,-1464475986,"B_RUSH",20,80,100,25,33,100
5,-1464670608,"A_SPLIT",20,80,100,5,33,150
13,-1464638930,"A_SPLIT",20,80,100,20,33,100
21,-1464620953,"A_RUSH",20,80,100,0,33,200
29,-1464595374,"A_RUSH",20,80,100,15,33,150
37,-1464570607,"B_SPLIT",20,80,100,0,33,100
45,-1464544437,"B_SPLIT",20,80,100,10,33,200
53,-1464516623,"B_SPLIT",20,80,100,25,33,150
61,-1464489872,"B_RUSH",20,80,100,10,33,100
69,-1464463094,"B_RUSH",20,80,100,20,33,200
4,-1464671870,"A_SPLIT",20,80,100,5,33,100
12,-1464645417,"A_SPLIT",20,80,100,15,33,200
20,-1464627088,"A_RUSH",20,80,100,0,33,150
28,-1464601709,"A_RUSH",20,80,100,15,33,100
36,-1464576941,"A_RUSH",20,80,100,25,33,200
44,-1464551766,"B_SPLIT",20,80,100,10,33,150
52,-1464524969,"B_SPLIT",20,80,100,25,33,100
60,-1464498418,"B_RUSH",20,80,100,5,33,200
68,-1464470440,"B_RUSH",20,80,100,20,33,150
3,-1464670782,"A_SPLIT",20,80,100,0,33,200
11,-1464651493,"A_SPLIT",20,80,100,15,33,150
19,-1464617638,"A_RUSH",20,80,100,0,33,100
27,-1464592629,"A_RUSH",20,80,100,10,33,200
35,-1464567663,"A_RUSH",20,80,100,25,33,150
43,-1464513065,"B_SPLIT",20,80,100,10,33,100
51,-1464486687,"B_SPLIT",20,80,100,20,33,200
59,-1464470760,"B_RUSH",20,80,100,5,33,150
67,-1464444819,"B_RUSH",20,80,100,20,33,100
2,-1464670785,"A_SPLIT",20,80,100,0,33,150
10,-1464627185,"A_SPLIT",20,80,100,15,33,100
18,-1464594183,"A_SPLIT",20,80,100,25,33,200
26,-1464575811,"A_RUSH",20,80,100,10,33,150
34,-1464544981,"A_RUSH",20,80,100,25,33,100
42,-1464520595,"B_SPLIT",20,80,100,5,33,200
50,-1464488239,"B_SPLIT",20,80,100,20,33,150
58,-1464461687,"B_RUSH",20,80,100,5,33,100
66,-1464435747,"B_RUSH",20,80,100,15,33,200
1,-1464671125,"A_SPLIT",20,80,100,0,33,100
9,-1464642906,"A_SPLIT",20,80,100,10,33,200
17,-1464595861,"A_SPLIT",20,80,100,25,33,150
25,-1464577921,"A_RUSH",20,80,100,10,33,100
33,-1464553334,"A_RUSH",20,80,100,20,33,200
41,-1464528164,"B_SPLIT",20,80,100,5,33,150
49,-1464500988,"B_SPLIT",20,80,100,20,33,100
57,-1464446490,"B_RUSH",20,80,100,0,33,200
65,-1464419940,"B_RUSH",20,80,100,15,33,150
