"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
4,-1474285371,"A_SPLIT",20,80,100,5,33,100
8,-1474256452,"A_SPLIT",20,80,100,10,33,150
12,-1474230919,"A_SPLIT",20,80,100,15,33,200
16,-1474202666,"A_SPLIT",20,80,100,25,33,100
20,-1474169599,"A_RUSH",20,80,100,0,33,150
24,-1474144468,"A_RUSH",20,80,100,5,33,200
28,-1474118729,"A_RUSH",20,80,100,15,33,100
32,-1474093583,"A_RUSH",20,80,100,20,33,150
36,-1474068435,"A_RUSH",20,80,100,25,33,200
40,-1474031586,"B_SPLIT",20,80,100,5,33,100
44,-1474005026,"B_SPLIT",20,80,100,10,33,150
48,-1473977680,"B_SPLIT",20,80,100,15,33,200
52,-1473950322,"B_SPLIT",20,80,100,25,33,100
56,-1473924179,"B_RUSH",20,80,100,0,33,150
60,-1473897836,"B_RUSH",20,80,100,5,33,200
64,-1473870889,"B_RUSH",20,80,100,15,33,100
68,-1473845149,"B_RUSH",20,80,100,20,33,150
72,-1473818605,"B_RUSH",20,80,100,25,33,200
76,-1473792444,"A_SPLIT",20,80,100,5,33,100
80,-1473767115,"A_SPLIT",20,80,100,10,33,150
84,-1473748812,"A_SPLIT",20,80,100,15,33,200
88,-1473722876,"A_SPLIT",20,80,100,25,33,100
92,-1473698335,"A_RUSH",20,80,100,0,33,150
96,-1473663933,"A_RUSH",20,80,100,5,33,200
100,-1473638196,"A_RUSH",20,80,100,15,33,100
104,-1473613661,"A_RUSH",20,80,100,20,33,150
108,-1473588331,"A_RUSH",20,80,100,25,33,200
112,-1473562031,"B_SPLIT",20,80,100,5,33,100
116,-1473535288,"B_SPLIT",20,80,100,10,33,150
120,-1473506934,"B_SPLIT",20,80,100,15,33,200
124,-1473479394,"B_SPLIT",20,80,100,25,33,100
128,-1473453026,"B_RUSH",20,80,100,0,33,150
132,-1473426691,"B_RUSH",20,80,100,5,33,200
136,-1473400749,"B_RUSH",20,80,100,15,33,100
140,-1473375208,"B_RUSH",20,80,100,20,33,150
144,-1473348867,"B_RUSH",20,80,100,25,33,200
148,-1473318126,"A_SPLIT",20,80,100,5,33,100
152,-1473283965,"A_SPLIT",20,80,100,10,33,150
156,-1473269283,"A_SPLIT",20,80,100,15,33,200
160,-1473251583,"A_SPLIT",20,80,100,25,33,100
164,-1473225637,"A_RUSH",20,80,100,0,33,150
168,-1473199905,"A_RUSH",20,80,100,5,33,200
172,-1473174570,"A_RUSH",20,80,100,15,33,100
176,-1473139550,"A_RUSH",20,80,100,20,33,150
180,-1473114016,"A_RUSH",20,80,100,25,33,200
184,-1473081526,"B_SPLIT",20,80,100,5,33,100
188,-1473054977,"B_SPLIT",20,80,100,10,33,150
192,-1473027824,"B_SPLIT",20,80,100,15,33,200
196,-1473000486,"B_SPLIT",20,80,100,25,33,100
200,-1472973945,"B_RUSH",20,80,100,0,33,150
204,-1472948005,"B_RUSH",20,80,100,5,33,200
208,-1472912639,"B_RUSH",20,80,100,15,33,100
212,-1472886487,"B_RUSH",20,80,100,20,33,150
216,-1472863155,"B_RUSH",20,80,100,25,33,200
220,-1472836217,"A_SPLIT",20,80,100,5,33,100
224,-1472811087,"A_SPLIT",20,80,100,10,33,150
228,-1472792385,"A_SPLIT",20,80,100,15,33,200
232,-1472774087,"A_SPLIT",20,80,100,25,33,100
236,-1472748751,"A_RUSH",20,80,100,0,33,150
240,-1472723424,"A_RUSH",20,80,100,5,33,200
244,-1472697691,"A_RUSH",20,80,100,15,33,100
248,-1472672959,"A_RUSH",20,80,100,20,33,150
252,-1472648022,"A_RUSH",20,80,100,25,33,200
256,-1472612718,"B_SPLIT",20,80,100,5,33,100
260,-1472585982,"B_SPLIT",20,80,100,10,33,150
264,-1472549752,"B_SPLIT",20,80,100,15,33,200
268,-1472517921,"B_SPLIT",20,80,100,25,33,100
272,-1472484362,"B_RUSH",20,80,100,0,33,150
276,-1472457619,"B_RUSH",20,80,100,5,33,200
280,-1472430881,"B_RUSH",20,80,100,15,33,100
284,-1472400029,"B_RUSH",20,80,100,20,33,150
288,-1472373888,"B_RUSH",20,80,100,25,33,200
292,-1472346945,"A_SPLIT",20,80,100,5,33,100
296,-1472321605,"A_SPLIT",20,80,100,10,33,150
300,-1472288901,"A_SPLIT",20,80,100,15,33,200
304,-1472273811,"A_SPLIT",20,80,100,25,33,100
308,-1472245663,"A_RUSH",20,80,100,0,33,150
312,-1472220706,"A_RUSH",20,80,100,5,33,200
316,-1472189560,"A_RUSH",20,80,100,15,33,100
320,-1472164422,"A_RUSH",20,80,100,20,33,150
324,-1472139284,"A_RUSH",20,80,100,25,33,200
328,-1472113947,"B_SPLIT",20,80,100,5,33,100
332,-1472086609,"B_SPLIT",20,80,100,10,33,150
336,-1472059466,"B_SPLIT",20,80,100,15,33,200
340,-1472032514,"B_SPLIT",20,80,100,25,33,100
344,-1472005172,"B_RUSH",20,80,100,0,33,150
348,-1471969936,"B_RUSH",20,80,100,5,33,200
352,-1471943199,"B_RUSH",20,80,100,15,33,100
356,-1471905641,"B_RUSH",20,80,100,20,33,150
360,-1471879498,"B_RUSH",20,80,100,25,33,200
364,-1471849159,"A_SPLIT",20,80,100,5,33,100
368,-1471820800,"A_SPLIT",20,80,100,10,33,150
