"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
1,-1305802894,"A_SPLIT",10,60,50,0,33,100
9,-1305784434,"A_SPLIT",10,60,50,5,33,200
17,-1305766296,"A_SPLIT",10,60,50,10,40,150
25,-1305747785,"A_SPLIT",10,60,50,20,33,100
33,-1305729651,"A_SPLIT",10,60,50,25,33,200
41,-1305719762,"A_SPLIT",10,60,100,0,40,150
49,-1305691553,"A_SPLIT",10,60,100,10,33,100
57,-1305665990,"A_SPLIT",10,60,100,15,33,200
65,-1305649642,"A_SPLIT",10,60,100,20,40,150
73,-1305631114,"A_SPLIT",10,60,150,0,33,100
81,-1305605557,"A_SPLIT",10,60,150,5,33,200
89,-1305578410,"A_SPLIT",10,60,150,10,40,150
97,-1305550056,"A_SPLIT",10,60,150,20,33,100
105,-1305499979,"A_SPLIT",10,60,150,25,33,200
113,-1305452772,"A_SPLIT",10,80,50,0,40,150
121,-1305434678,"A_SPLIT",10,80,50,10,33,100
129,-1305416162,"A_SPLIT",10,80,50,15,33,200
137,-1305405081,"A_SPLIT",10,80,50,20,40,150
145,-1305387152,"A_SPLIT",10,80,100,0,33,100
153,-1305358804,"A_SPLIT",10,80,100,5,33,200
161,-1305332663,"A_SPLIT",10,80,100,10,40,150
169,-1305306724,"A_SPLIT",10,80,100,20,33,100
177,-1305281182,"A_SPLIT",10,80,100,25,33,200
185,-1305266085,"A_SPLIT",10,80,150,0,40,150
193,-1305216550,"A_SPLIT",10,80,150,10,33,100
201,-1305190407,"A_SPLIT",10,80,150,15,33,200
209,-1305151808,"A_SPLIT",10,80,150,20,40,150
217,-1305126474,"A_SPLIT",10,100,50,0,33,100
225,-1305111185,"A_SPLIT",10,100,50,5,33,200
233,-1305093058,"A_SPLIT",10,100,50,10,40,150
241,-1305083173,"A_SPLIT",10,100,50,20,33,100
249,-1305068291,"A_SPLIT",10,100,50,25,33,200
257,-1305058196,"A_SPLIT",10,100,100,0,40,150
265,-1305011107,"A_SPLIT",10,100,100,10,33,100
273,-1304985572,"A_SPLIT",10,100,100,15,33,200
281,-1304966867,"A_SPLIT",10,100,100,20,40,150
289,-1304949364,"A_SPLIT",10,100,150,0,33,100
297,-1304923420,"A_SPLIT",10,100,150,5,33,200
305,-1304896679,"A_SPLIT",10,100,150,10,40,150
313,-1304870331,"A_SPLIT",10,100,150,20,33,100
321,-1304818349,"A_SPLIT",10,100,150,25,33,200
329,-1304774032,"A_SPLIT",25,60,50,0,40,150
337,-1304764363,"A_SPLIT",25,60,50,10,33,100
345,-1304746255,"A_SPLIT",25,60,50,15,33,200
353,-1304735980,"A_SPLIT",25,60,50,20,40,150
361,-1304715472,"A_SPLIT",25,60,100,0,33,100
369,-1304682094,"A_SPLIT",25,60,100,5,33,200
377,-1304648127,"A_SPLIT",25,60,100,10,40,150
385,-1304629605,"A_SPLIT",25,60,100,20,33,100
393,-1304604277,"A_SPLIT",25,60,100,25,33,200
401,-1304560136,"A_SPLIT",25,60,150,0,40,150
409,-1304533802,"A_SPLIT",25,60,150,10,33,100
417,-1304508869,"A_SPLIT",25,60,150,15,33,200
425,-1304490333,"A_SPLIT",25,60,150,20,40,150
433,-1304468211,"A_SPLIT",25,80,50,0,33,100
441,-1304452716,"A_SPLIT",25,80,50,5,33,200
449,-1304434814,"A_SPLIT",25,80,50,10,40,150
457,-1304425548,"A_SPLIT",25,80,50,20,33,100
465,-1304416085,"A_SPLIT",25,80,50,25,33,200
473,-1304405827,"A_SPLIT",25,80,100,0,40,150
481,-1304372077,"A_SPLIT",25,80,100,10,33,100
489,-1304349760,"A_SPLIT",25,80,100,15,33,200
497,-1304339696,"A_SPLIT",25,80,100,20,40,150
505,-1304308750,"A_SPLIT",25,80,150,0,33,100
513,-1304256761,"A_SPLIT",25,80,150,5,33,200
521,-1304222776,"A_SPLIT",25,80,150,10,40,150
529,-1304173319,"A_SPLIT",25,80,150,20,33,100
537,-1304153592,"A_SPLIT",25,80,150,25,33,200
545,-1304109814,"A_SPLIT",25,100,50,0,40,150
553,-1304091709,"A_SPLIT",25,100,50,10,33,100
561,-1304060977,"A_SPLIT",25,100,50,15,33,200
569,-1304051110,"A_SPLIT",25,100,50,20,40,150
577,-1304033185,"A_SPLIT",25,100,100,0,33,100
585,-1303983735,"A_SPLIT",25,100,100,5,33,200
593,-1303936858,"A_SPLIT",25,100,100,10,40,150
601,-1303905714,"A_SPLIT",25,100,100,20,33,100
609,-1303875948,"A_SPLIT",25,100,100,25,33,200
617,-1303855235,"A_SPLIT",25,100,150,0,40,150
625,-1303829701,"A_SPLIT",25,100,150,10,33,100
633,-1303810788,"A_SPLIT",25,100,150,15,33,200
641,-1303778244,"A_SPLIT",25,100,150,20,40,150
649,-1303726201,"A_RUSH",10,60,50,0,33,100
657,-1303700650,"A_RUSH",10,60,50,5,33,200
665,-1303686538,"A_RUSH",10,60,50,10,40,150
673,-1303661795,"A_RUSH",10,60,50,20,33,100
681,-1303637057,"A_RUSH",10,60,50,25,33,200
689,-1303609334,"A_RUSH",10,60,100,0,40,150
697,-1303583787,"A_RUSH",10,60,100,10,33,100
705,-1303559248,"A_RUSH",10,60,100,15,33,200
713,-1303534920,"A_RUSH",10,60,100,20,40,150
721,-1303480202,"A_RUSH",10,60,150,0,33,100
729,-1303455067,"A_RUSH",10,60,150,5,33,200
737,-1303429336,"A_RUSH",10,60,150,10,40,150
745,-1303404190,"A_RUSH",10,60,150,20,33,100
753,-1303379662,"A_RUSH",10,60,150,25,33,200
761,-1303353510,"A_RUSH",10,80,50,0,40,150
769,-1303322575,"A_RUSH",10,80,50,10,33,100
777,-1303297590,"A_RUSH",10,80,50,15,33,200
785,-1303270068,"A_RUSH",10,80,50,20,40,150
793,-1303249137,"A_RUSH",10,80,100,0,33,100
801,-1303224390,"A_RUSH",10,80,100,5,33,200
809,-1303198648,"A_RUSH",10,80,100,10,40,150
817,-1303164444,"A_RUSH",10,80,100,20,33,100
825,-1303139891,"A_RUSH",10,80,100,25,33,200
833,-1303114530,"A_RUSH",10,80,150,0,40,150
841,-1303089783,"A_RUSH",10,80,150,10,33,100
849,-1303065043,"A_RUSH",10,80,150,15,33,200
857,-1303039281,"A_RUSH",10,80,150,20,40,150
865,-1303014124,"A_RUSH",10,100,50,0,33,100
873,-1302989395,"A_RUSH",10,100,50,5,33,200
881,-1302961614,"A_RUSH",10,100,50,10,40,150
889,-1302934054,"A_RUSH",10,100,50,20,33,100
897,-1302908922,"A_RUSH",10,100,50,25,33,200
905,-1302880790,"A_RUSH",10,100,100,0,40,150
913,-1302855642,"A_RUSH",10,100,100,10,33,100
921,-1302830714,"A_RUSH",10,100,100,15,33,200
929,-1302805976,"A_RUSH",10,100,100,20,40,150
937,-1302781231,"A_RUSH",10,100,150,0,33,100
945,-1302756497,"A_RUSH",10,100,150,5,33,200
953,-1302731168,"A_RUSH",10,100,150,10,40,150
961,-1302706025,"A_RUSH",10,100,150,20,33,100
969,-1302681263,"A_RUSH",10,100,150,25,33,200
977,-1302655533,"A_RUSH",25,60,50,0,40,150
985,-1302606204,"A_RUSH",25,60,50,10,33,100
993,-1302558738,"A_RUSH",25,60,50,15,33,200
1001,-1302512360,"A_RUSH",25,60,50,20,40,150
1009,-1302455046,"A_RUSH",25,60,100,0,33,100
1017,-1302430317,"A_RUSH",25,60,100,5,33,200
1025,-1302404376,"A_RUSH",25,60,100,10,40,150
1033,-1302379047,"A_RUSH",25,60,100,20,33,100
1041,-1302354518,"A_RUSH",25,60,100,25,33,200
1049,-1302326389,"A_RUSH",25,60,150,0,40,150
1057,-1302301455,"A_RUSH",25,60,150,10,33,100
1065,-1302276720,"A_RUSH",25,60,150,15,33,200
1073,-1302251392,"A_RUSH",25,60,150,20,40,150
1081,-1302226055,"A_RUSH",25,80,50,0,33,100
1089,-1302201122,"A_RUSH",25,80,50,5,33,200
1097,-1302174602,"A_RUSH",25,80,50,10,40,150
1105,-1302117354,"A_RUSH",25,80,50,20,33,100
1113,-1302065580,"A_RUSH",25,80,50,25,33,200
1121,-1302039070,"A_RUSH",25,80,100,0,40,150
1129,-1302013944,"A_RUSH",25,80,100,10,33,100
1137,-1301989216,"A_RUSH",25,80,100,15,33,200
1145,-1301934794,"A_RUSH",25,80,100,20,40,150
1153,-1301877743,"A_RUSH",25,80,150,0,33,100
1161,-1301853013,"A_RUSH",25,80,150,5,33,200
1169,-1301827482,"A_RUSH",25,80,150,10,40,150
1177,-1301802220,"A_RUSH",25,80,150,20,33,100
1185,-1301777056,"A_RUSH",25,80,150,25,33,200
1193,-1301752211,"A_RUSH",25,100,50,0,40,150
1201,-1301724870,"A_RUSH",25,100,50,10,33,100
1209,-1301699637,"A_RUSH",25,100,50,15,33,200
1217,-1301641051,"A_RUSH",25,100,50,20,40,150
