"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
8,-1298417400,"A_SPLIT",10,60,50,5,33,150
16,-1298398789,"A_SPLIT",10,60,50,10,40,100
24,-1298381840,"A_SPLIT",10,60,50,15,40,200
32,-1298371742,"A_SPLIT",10,60,50,25,33,150
40,-1298356416,"A_SPLIT",10,60,100,0,40,100
48,-1298330052,"A_SPLIT",10,60,100,5,40,200
56,-1298286285,"A_SPLIT",10,60,100,15,33,150
64,-1298260903,"A_SPLIT",10,60,100,20,40,100
72,-1298209624,"A_SPLIT",10,60,100,25,40,200
80,-1298160464,"A_SPLIT",10,60,150,5,33,150
88,-1298113368,"A_SPLIT",10,60,150,10,40,100
96,-1298088012,"A_SPLIT",10,60,150,15,40,200
104,-1298039326,"A_SPLIT",10,60,150,25,33,150
112,-1298005343,"A_SPLIT",10,80,50,0,40,100
120,-1297995268,"A_SPLIT",10,80,50,5,40,200
128,-1297985594,"A_SPLIT",10,80,50,15,33,150
136,-1297939731,"A_SPLIT",10,80,50,20,40,100
144,-1297921612,"A_SPLIT",10,80,50,25,40,200
152,-1297903093,"A_SPLIT",10,80,100,5,33,150
160,-1297880332,"A_SPLIT",10,80,100,10,40,100
168,-1297855187,"A_SPLIT",10,80,100,15,40,200
176,-1297834040,"A_SPLIT",10,80,100,25,33,150
184,-1297799865,"A_SPLIT",10,80,150,0,40,100
192,-1297773299,"A_SPLIT",10,80,150,5,40,200
200,-1297743732,"A_SPLIT",10,80,150,15,33,150
208,-1297709741,"A_SPLIT",10,80,150,20,40,100
216,-1297684378,"A_SPLIT",10,80,150,25,40,200
224,-1297655220,"A_SPLIT",10,100,50,5,33,150
232,-1297636686,"A_SPLIT",10,100,50,10,40,100
240,-1297621582,"A_SPLIT",10,100,50,15,40,200
248,-1297603474,"A_SPLIT",10,100,50,25,33,150
256,-1297585562,"A_SPLIT",10,100,100,0,40,100
264,-1297559207,"A_SPLIT",10,100,100,5,40,200
272,-1297540686,"A_SPLIT",10,100,100,15,33,150
280,-1297526600,"A_SPLIT",10,100,100,20,40,100
288,-1297505289,"A_SPLIT",10,100,100,25,40,200
296,-1297487579,"A_SPLIT",10,100,150,5,33,150
304,-1297454378,"A_SPLIT",10,100,150,10,40,100
312,-1297434667,"A_SPLIT",10,100,150,15,40,200
320,-1297407917,"A_SPLIT",10,100,150,25,33,150
328,-1297386591,"A_SPLIT",25,60,50,0,40,100
336,-1297372098,"A_SPLIT",25,60,50,5,40,200
344,-1297362223,"A_SPLIT",25,60,50,15,33,150
352,-1297352362,"A_SPLIT",25,60,50,20,40,100
360,-1297334438,"A_SPLIT",25,60,50,25,40,200
368,-1297324565,"A_SPLIT",25,60,100,5,33,150
376,-1297296394,"A_SPLIT",25,60,100,10,40,100
384,-1297250322,"A_SPLIT",25,60,100,15,40,200
392,-1297211523,"A_SPLIT",25,60,100,25,33,150
400,-1297167838,"A_SPLIT",25,60,150,0,40,100
408,-1297142087,"A_SPLIT",25,60,150,5,40,200
416,-1297113712,"A_SPLIT",25,60,150,15,33,150
424,-1297087365,"A_SPLIT",25,60,150,20,40,100
432,-1297061217,"A_SPLIT",25,60,150,25,40,200
440,-1297014703,"A_SPLIT",25,80,50,5,33,150
448,-1297004839,"A_SPLIT",25,80,50,10,40,100
456,-1296983707,"A_SPLIT",25,80,50,15,40,200
464,-1296974025,"A_SPLIT",25,80,50,25,33,150
472,-1296963937,"A_SPLIT",25,80,100,0,40,100
480,-1296933370,"A_SPLIT",25,80,100,5,40,200
488,-1296914050,"A_SPLIT",25,80,100,15,33,150
496,-1296865238,"A_SPLIT",25,80,100,20,40,100
504,-1296836479,"A_SPLIT",25,80,100,25,40,200
512,-1296820978,"A_SPLIT",25,80,150,5,33,150
520,-1296794822,"A_SPLIT",25,80,150,10,40,100
528,-1296769468,"A_SPLIT",25,80,150,15,40,200
536,-1296749147,"A_SPLIT",25,80,150,25,33,150
544,-1296702384,"A_SPLIT",25,100,50,0,40,100
552,-1296684665,"A_SPLIT",25,100,50,5,40,200
560,-1296674798,"A_SPLIT",25,100,50,15,33,150
568,-1296659898,"A_SPLIT",25,100,50,20,40,100
576,-1296650015,"A_SPLIT",25,100,50,25,40,200
584,-1296640149,"A_SPLIT",25,100,100,5,33,150
592,-1296621823,"A_SPLIT",25,100,100,10,40,100
600,-1296588260,"A_SPLIT",25,100,100,15,40,200
608,-1296557103,"A_SPLIT",25,100,100,25,33,150
616,-1296539182,"A_SPLIT",25,100,150,0,40,100
624,-1296519665,"A_SPLIT",25,100,150,5,40,200
632,-1296490702,"A_SPLIT",25,100,150,15,33,150
640,-1296464741,"A_SPLIT",25,100,150,20,40,100
648,-1296439398,"A_SPLIT",25,100,150,25,40,200
656,-1296408456,"A_RUSH",10,60,50,5,33,150
664,-1296351788,"A_RUSH",10,60,50,10,40,100
672,-1296300202,"A_RUSH",10,60,50,15,40,200
680,-1296289523,"A_RUSH",10,60,50,25,33,150
688,-1296237988,"A_RUSH",10,60,100,0,40,100
696,-1296213261,"A_RUSH",10,60,100,5,40,200
704,-1296187904,"A_RUSH",10,60,100,15,33,150
712,-1296162948,"A_RUSH",10,60,100,20,40,100
720,-1296138400,"A_RUSH",10,60,100,25,40,200
728,-1296113057,"A_RUSH",10,60,150,5,33,150
736,-1296087714,"A_RUSH",10,60,150,10,40,100
744,-1296063170,"A_RUSH",10,60,150,15,40,200
752,-1296037424,"A_RUSH",10,60,150,25,33,150
760,-1296012488,"A_RUSH",10,80,50,0,40,100
768,-1295986739,"A_RUSH",10,80,50,5,40,200
776,-1295937129,"A_RUSH",10,80,50,15,33,150
784,-1295918886,"A_RUSH",10,80,50,20,40,100
792,-1295893532,"A_RUSH",10,80,50,25,40,200
800,-1295880641,"A_RUSH",10,80,100,5,33,150
808,-1295854485,"A_RUSH",10,80,100,10,40,100
816,-1295829327,"A_RUSH",10,80,100,15,40,200
824,-1295804191,"A_RUSH",10,80,100,25,33,150
832,-1295779244,"A_RUSH",10,80,150,0,40,100
840,-1295754893,"A_RUSH",10,80,150,5,40,200
848,-1295729930,"A_RUSH",10,80,150,15,33,150
856,-1295705172,"A_RUSH",10,80,150,20,40,100
864,-1295680646,"A_RUSH",10,80,150,25,40,200
872,-1295655498,"A_RUSH",10,100,50,5,33,150
880,-1295628758,"A_RUSH",10,100,50,10,40,100
888,-1295604421,"A_RUSH",10,100,50,15,40,200
896,-1295579469,"A_RUSH",10,100,50,25,33,150
904,-1295554321,"A_RUSH",10,100,100,0,40,100
912,-1295529377,"A_RUSH",10,100,100,5,40,200
920,-1295503417,"A_RUSH",10,100,100,15,33,150
928,-1295478052,"A_RUSH",10,100,100,20,40,100
936,-1295453705,"A_RUSH",10,100,100,25,40,200
944,-1295426771,"A_RUSH",10,100,150,5,33,150
952,-1295402022,"A_RUSH",10,100,150,10,40,100
960,-1295377082,"A_RUSH",10,100,150,15,40,200
968,-1295351133,"A_RUSH",10,100,150,25,33,150
976,-1295326391,"A_RUSH",25,60,50,0,40,100
984,-1295299456,"A_RUSH",25,60,50,5,40,200
992,-1295285570,"A_RUSH",25,60,50,15,33,150
1000,-1295271679,"A_RUSH",25,60,50,20,40,100
1008,-1295245950,"A_RUSH",25,60,50,25,40,200
1016,-1295232444,"A_RUSH",25,60,100,5,33,150
1024,-1295207093,"A_RUSH",25,60,100,10,40,100
1032,-1295182162,"A_RUSH",25,60,100,15,40,200
1040,-1295156804,"A_RUSH",25,60,100,25,33,150
1048,-1295131853,"A_RUSH",25,60,150,0,40,100
1056,-1295107302,"A_RUSH",25,60,150,5,40,200
1064,-1295082555,"A_RUSH",25,60,150,15,33,150
1072,-1295057401,"A_RUSH",25,60,150,20,40,100
1080,-1295032259,"A_RUSH",25,60,150,25,40,200
1088,-1295006915,"A_RUSH",25,80,50,5,33,150
1096,-1294976362,"A_RUSH",25,80,50,10,40,100
1104,-1294942619,"A_RUSH",25,80,50,15,40,200
1112,-1294906513,"A_RUSH",25,80,50,25,33,150
1120,-1294881159,"A_RUSH",25,80,100,0,40,100
1128,-1294856617,"A_RUSH",25,80,100,5,40,200
1136,-1294830662,"A_RUSH",25,80,100,15,33,150
1144,-1294806114,"A_RUSH",25,80,100,20,40,100
1152,-1294781764,"A_RUSH",25,80,100,25,40,200
1160,-1294755268,"A_RUSH",25,80,150,5,33,150
1168,-1294730526,"A_RUSH",25,80,150,10,40,100
1176,-1294705576,"A_RUSH",25,80,150,15,40,200
1184,-1294680234,"A_RUSH",25,80,150,25,33,150
1192,-1294655481,"A_RUSH",25,100,50,0,40,100
1200,-1294628364,"A_RUSH",25,100,50,5,40,200
1208,-1294601238,"A_RUSH",25,100,50,15,33,150
1216,-1294583516,"A_RUSH",25,100,50,20,40,100
1224,-1294558976,"A_RUSH",25,100,50,25,40,200
1232,-1294546093,"A_RUSH",25,100,100,5,33,150
1240,-1294521537,"A_RUSH",25,100,100,10,40,100
1248,-1294495959,"A_RUSH",25,100,100,15,40,200
1256,-1294485478,"A_RUSH",25,100,100,25,33,150
1264,-1294460326,"A_RUSH",25,100,150,0,40,100
1272,-1294435383,"A_RUSH",25,100,150,5,40,200
1280,-1294410231,"A_RUSH",25,100,150,15,33,150
1288,-1294385696,"A_RUSH",25,100,150,20,40,100
1296,-1294361153,"A_RUSH",25,100,150,25,40,200
1304,-1294335794,"B_SPLIT",10,60,50,5,33,150
1312,-1294321305,"B_SPLIT",10,60,50,10,40,100
1320,-1294294152,"B_SPLIT",10,60,50,15,40,200
1328,-1294240354,"B_SPLIT",10,60,50,25,33,150
1336,-1294226647,"B_SPLIT",10,60,100,0,40,100
1344,-1294199699,"B_SPLIT",10,60,100,5,40,200
1352,-1294142949,"B_SPLIT",10,60,100,15,33,150
1360,-1294115587,"B_SPLIT",10,60,100,20,40,100
1368,-1294089238,"B_SPLIT",10,60,100,25,40,200
1376,-1294061867,"B_SPLIT",10,60,150,5,33,150
1384,-1294031097,"B_SPLIT",10,60,150,10,40,100
1392,-1294004139,"B_SPLIT",10,60,150,15,40,200
1400,-1293976789,"B_SPLIT",10,60,150,25,33,150
1408,-1293949442,"B_SPLIT",10,80,50,0,40,100
1416,-1293930117,"B_SPLIT",10,80,50,5,40,200
1424,-1293915426,"B_SPLIT",10,80,50,15,33,150
1432,-1293891695,"B_SPLIT",10,80,50,20,40,100
1440,-1293837895,"B_SPLIT",10,80,50,25,40,200
1448,-1293824202,"B_SPLIT",10,80,100,5,33,150
1456,-1293797452,"B_SPLIT",10,80,100,10,40,100
1464,-1293770907,"B_SPLIT",10,80,100,15,40,200
1472,-1293743965,"B_SPLIT",10,80,100,25,33,150
1480,-1293716991,"B_SPLIT",10,80,150,0,40,100
1488,-1293690246,"B_SPLIT",10,80,150,5,40,200
1496,-1293662893,"B_SPLIT",10,80,150,15,33,150
1504,-1293606555,"B_SPLIT",10,80,150,20,40,100
1512,-1293579803,"B_SPLIT",10,80,150,25,40,200
1520,-1293552239,"B_SPLIT",10,100,50,5,33,150
1528,-1293506274,"B_SPLIT",10,100,50,10,40,100
1536,-1293480125,"B_SPLIT",10,100,50,15,40,200
1544,-1293453381,"B_SPLIT",10,100,50,25,33,150
1552,-1293435045,"B_SPLIT",10,100,100,0,40,100
1560,-1293380468,"B_SPLIT",10,100,100,5,40,200
1568,-1293353715,"B_SPLIT",10,100,100,15,33,150
1576,-1293326951,"B_SPLIT",10,100,100,20,40,100
1584,-1293300607,"B_SPLIT",10,100,100,25,40,200
1592,-1293274245,"B_SPLIT",10,100,150,5,33,150
1600,-1293247098,"B_SPLIT",10,100,150,10,40,100
1608,-1293220949,"B_SPLIT",10,100,150,15,40,200
1616,-1293201628,"B_SPLIT",10,100,150,25,33,150
1624,-1293174664,"B_SPLIT",25,60,50,0,40,100
1632,-1293148488,"B_SPLIT",25,60,50,5,40,200
1640,-1293129760,"B_SPLIT",25,60,50,15,33,150
1648,-1293115862,"B_SPLIT",25,60,50,20,40,100
1656,-1293102153,"B_SPLIT",25,60,50,25,40,200
1664,-1293088670,"B_SPLIT",25,60,100,5,33,150
1672,-1293061718,"B_SPLIT",25,60,100,10,40,100
1680,-1293035177,"B_SPLIT",25,60,100,15,40,200
1688,-1293011645,"B_SPLIT",25,60,100,25,33,150
1696,-1292985305,"B_SPLIT",25,60,150,0,40,100
1704,-1292958766,"B_SPLIT",25,60,150,5,40,200
1712,-1292931621,"B_SPLIT",25,60,150,15,33,150
1720,-1292904871,"B_SPLIT",25,60,150,20,40,100
1728,-1292878113,"B_SPLIT",25,60,150,25,40,200
1736,-1292853359,"B_SPLIT",25,80,50,5,33,150
1744,-1292798048,"B_SPLIT",25,80,50,10,40,100
1752,-1292744733,"B_SPLIT",25,80,50,15,40,200
1760,-1292731844,"B_SPLIT",25,80,50,25,33,150
1768,-1292715547,"B_SPLIT",25,80,100,0,40,100
1776,-1292688984,"B_SPLIT",25,80,100,5,40,200
1784,-1292655820,"B_SPLIT",25,80,100,15,33,150
1792,-1292604125,"B_SPLIT",25,80,100,20,40,100
1800,-1292578367,"B_SPLIT",25,80,100,25,40,200
1808,-1292526908,"B_SPLIT",25,80,150,5,33,150
1816,-1292500163,"B_SPLIT",25,80,150,10,40,100
1824,-1292473806,"B_SPLIT",25,80,150,15,40,200
1832,-1292446642,"B_SPLIT",25,80,150,25,33,150
1840,-1292420493,"B_SPLIT",25,100,50,0,40,100
1848,-1292374295,"B_SPLIT",25,100,50,5,40,200
1856,-1292360598,"B_SPLIT",25,100,50,15,33,150
1864,-1292347313,"B_SPLIT",25,100,50,20,40,100
1872,-1292333640,"B_SPLIT",25,100,50,25,40,200
1880,-1292320762,"B_SPLIT",25,100,100,5,33,150
1888,-1292293209,"B_SPLIT",25,100,100,10,40,100
1896,-1292244602,"B_SPLIT",25,100,100,15,40,200
1904,-1292217245,"B_SPLIT",25,100,100,25,33,150
1912,-1292203340,"B_SPLIT",25,100,150,0,40,100
1920,-1292177191,"B_SPLIT",25,100,150,5,40,200
1928,-1292150229,"B_SPLIT",25,100,150,15,33,150
1936,-1292124088,"B_SPLIT",25,100,150,20,40,100
1944,-1292097930,"B_SPLIT",25,100,150,25,40,200
1952,-1292069772,"B_RUSH",10,60,50,5,33,150
1960,-1292043230,"B_RUSH",10,60,50,10,40,100
1968,-1292011280,"B_RUSH",10,60,50,15,40,200
1976,-1291980937,"B_RUSH",10,60,50,25,33,150
