"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
2,-1450736654,"A_SPLIT",20,80,100,0,33,150
4,-1450704602,"A_SPLIT",20,80,100,5,33,100
6,-1450673479,"A_SPLIT",20,80,100,5,33,200
8,-1450643524,"A_SPLIT",20,80,100,10,33,150
10,-1450615647,"A_SPLIT",20,80,100,15,33,100
12,-1450590108,"A_SPLIT",20,80,100,15,33,200
14,-1450561848,"A_SPLIT",20,80,100,20,33,150
16,-1450533517,"A_SPLIT",20,80,100,25,33,100
18,-1450505562,"A_SPLIT",20,80,100,25,33,200
20,-1450495701,"A_RUSH",20,80,100,0,33,150
22,-1450470170,"A_RUSH",20,80,100,5,33,100
24,-1450445640,"A_RUSH",20,80,100,5,33,200
26,-1450420103,"A_RUSH",20,80,100,10,33,150
28,-1450395172,"A_RUSH",20,80,100,15,33,100
30,-1450369840,"A_RUSH",20,80,100,15,33,200
32,-1450344503,"A_RUSH",20,80,100,20,33,150
34,-1450319772,"A_RUSH",20,80,100,25,33,100
36,-1450294461,"A_RUSH",20,80,100,25,33,200
38,-1450268729,"B_SPLIT",20,80,100,0,33,150
40,-1450241990,"B_SPLIT",20,80,100,5,33,100
42,-1450215250,"B_SPLIT",20,80,100,5,33,200
44,-1450186672,"B_SPLIT",20,80,100,10,33,150
46,-1450159332,"B_SPLIT",20,80,100,15,33,100
48,-1450132381,"B_SPLIT",20,80,100,15,33,200
50,-1450102262,"B_SPLIT",20,80,100,20,33,150
52,-1450073718,"B_SPLIT",20,80,100,25,33,100
54,-1450047178,"B_SPLIT",20,80,100,25,33,200
56,-1450016580,"B_RUSH",20,80,100,0,33,150
58,-1449989642,"B_RUSH",20,80,100,5,33,100
60,-1449963912,"B_RUSH",20,80,100,5,33,200
62,-1449937367,"B_RUSH",20,80,100,10,33,150
64,-1449911024,"B_RUSH",20,80,100,15,33,100
66,-1449884888,"B_RUSH",20,80,100,15,33,200
68,-1449859210,"B_RUSH",20,80,100,20,33,150
70,-1449833269,"B_RUSH",20,80,100,25,33,100
72,-1449806730,"B_RUSH",20,80,100,25,33,200
1,-1450736603,"A_SPLIT",20,80,100,0,33,100
3,-1450711177,"A_SPLIT",20,80,100,0,33,200
5,-1450695081,"A_SPLIT",20,80,100,5,33,150
7,-1450669338,"A_SPLIT",20,80,100,10,33,100
9,-1450644193,"A_SPLIT",20,80,100,10,33,200
11,-1450625283,"A_SPLIT",20,80,100,15,33,150
13,-1450598630,"A_SPLIT",20,80,100,20,33,100
15,-1450573295,"A_SPLIT",20,80,100,20,33,200
17,-1450555185,"A_SPLIT",20,80,100,25,33,150
19,-1450526578,"A_RUSH",20,80,100,0,33,100
21,-1450501845,"A_RUSH",20,80,100,0,33,200
23,-1450476309,"A_RUSH",20,80,100,5,33,150
25,-1450451176,"A_RUSH",20,80,100,10,33,100
27,-1450426837,"A_RUSH",20,80,100,10,33,200
29,-1450401500,"A_RUSH",20,80,100,15,33,150
31,-1450376367,"A_RUSH",20,80,100,20,33,100
33,-1450351431,"A_RUSH",20,80,100,20,33,200
35,-1450326702,"A_RUSH",20,80,100,25,33,150
37,-1450299817,"B_SPLIT",20,80,100,0,33,100
39,-1450266664,"B_SPLIT",20,80,100,0,33,200
41,-1450237912,"B_SPLIT",20,80,100,5,33,150
43,-1450210963,"B_SPLIT",20,80,100,10,33,100
45,-1450184221,"B_SPLIT",20,80,100,10,33,200
47,-1450152686,"B_SPLIT",20,80,100,15,33,150
49,-1450125947,"B_SPLIT",20,80,100,20,33,100
51,-1450099808,"B_SPLIT",20,80,100,20,33,200
53,-1450069736,"B_SPLIT",20,80,100,25,33,150
55,-1450042193,"B_RUSH",20,80,100,0,33,100
57,-1450015851,"B_RUSH",20,80,100,0,33,200
59,-1449995541,"B_RUSH",20,80,100,5,33,150
61,-1449969204,"B_RUSH",20,80,100,10,33,100
63,-1449942867,"B_RUSH",20,80,100,10,33,200
65,-1449916928,"B_RUSH",20,80,100,15,33,150
67,-1449890587,"B_RUSH",20,80,100,20,33,100
69,-1449864450,"B_RUSH",20,80,100,20,33,200
71,-1449834719,"B_RUSH",20,80,100,25,33,150
