"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
4,-1475047919,"A_SPLIT",20,80,100,5,33,100
8,-1475022647,"A_SPLIT",20,80,100,10,33,150
12,-1475004337,"A_SPLIT",20,80,100,15,33,200
16,-1474985826,"A_SPLIT",20,80,100,25,33,100
20,-1474963490,"A_RUSH",20,80,100,0,33,150
24,-1474937556,"A_RUSH",20,80,100,5,33,200
28,-1474912413,"A_RUSH",20,80,100,15,33,100
32,-1474887481,"A_RUSH",20,80,100,20,33,150
36,-1474861949,"A_RUSH",20,80,100,25,33,200
40,-1474836805,"B_SPLIT",20,80,100,5,33,100
44,-1474809653,"B_SPLIT",20,80,100,10,33,150
48,-1474782505,"B_SPLIT",20,80,100,15,33,200
52,-1474755562,"B_SPLIT",20,80,100,25,33,100
56,-1474717854,"B_RUSH",20,80,100,0,33,150
60,-1474690911,"B_RUSH",20,80,100,5,33,200
64,-1474663761,"B_RUSH",20,80,100,15,33,100
68,-1474637812,"B_RUSH",20,80,100,20,33,150
72,-1474610254,"B_RUSH",20,80,100,25,33,200
3,-1475047339,"A_SPLIT",20,80,100,0,33,200
7,-1475011289,"A_SPLIT",20,80,100,10,33,100
11,-1474980250,"A_SPLIT",20,80,100,15,33,150
15,-1474951699,"A_SPLIT",20,80,100,20,33,200
19,-1474932791,"A_RUSH",20,80,100,0,33,100
23,-1474907858,"A_RUSH",20,80,100,5,33,150
27,-1474882725,"A_RUSH",20,80,100,10,33,200
31,-1474856761,"A_RUSH",20,80,100,20,33,100
35,-1474831822,"A_RUSH",20,80,100,25,33,150
39,-1474804097,"B_SPLIT",20,80,100,0,33,200
43,-1474762102,"B_SPLIT",20,80,100,10,33,100
47,-1474735959,"B_SPLIT",20,80,100,15,33,150
51,-1474709222,"B_SPLIT",20,80,100,20,33,200
55,-1474681877,"B_RUSH",20,80,100,0,33,100
59,-1474651725,"B_RUSH",20,80,100,5,33,150
63,-1474625391,"B_RUSH",20,80,100,10,33,200
67,-1474598034,"B_RUSH",20,80,100,20,33,100
71,-1474572102,"B_RUSH",20,80,100,25,33,150
2,-1475048163,"A_SPLIT",20,80,100,0,33,150
6,-1475019487,"A_SPLIT",20,80,100,5,33,200
10,-1474984968,"A_SPLIT",20,80,100,15,33,100
14,-1474959235,"A_SPLIT",20,80,100,20,33,150
18,-1474940925,"A_SPLIT",20,80,100,25,33,200
22,-1474922223,"A_RUSH",20,80,100,5,33,100
26,-1474897292,"A_RUSH",20,80,100,10,33,150
30,-1474872352,"A_RUSH",20,80,100,15,33,200
34,-1474847622,"A_RUSH",20,80,100,25,33,100
38,-1474822886,"B_SPLIT",20,80,100,0,33,150
42,-1474795942,"B_SPLIT",20,80,100,5,33,200
46,-1474768188,"B_SPLIT",20,80,100,15,33,100
50,-1474742439,"B_SPLIT",20,80,100,20,33,150
54,-1474728761,"B_SPLIT",20,80,100,25,33,200
58,-1474702222,"B_RUSH",20,80,100,5,33,100
62,-1474676289,"B_RUSH",20,80,100,10,33,150
66,-1474649747,"B_RUSH",20,80,100,15,33,200
70,-1474622810,"B_RUSH",20,80,100,25,33,100
1,-1475047590,"A_SPLIT",20,80,100,0,33,100
5,-1475011936,"A_SPLIT",20,80,100,5,33,150
9,-1474974052,"A_SPLIT",20,80,100,10,33,200
13,-1474940487,"A_SPLIT",20,80,100,20,33,100
17,-1474921978,"A_SPLIT",20,80,100,25,33,150
21,-1474904066,"A_RUSH",20,80,100,0,33,200
25,-1474878725,"A_RUSH",20,80,100,10,33,100
29,-1474844335,"A_RUSH",20,80,100,15,33,150
33,-1474819600,"A_RUSH",20,80,100,20,33,200
37,-1474794463,"B_SPLIT",20,80,100,0,33,100
41,-1474768525,"B_SPLIT",20,80,100,5,33,150
45,-1474741179,"B_SPLIT",20,80,100,10,33,200
49,-1474714422,"B_SPLIT",20,80,100,20,33,100
53,-1474670489,"B_SPLIT",20,80,100,25,33,150
57,-1474630616,"B_RUSH",20,80,100,0,33,200
61,-1474602472,"B_RUSH",20,80,100,10,33,100
65,-1474577130,"B_RUSH",20,80,100,15,33,150
69,-1474550797,"B_RUSH",20,80,100,20,33,200
