"run","randomSeed","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
4,-1536885256,20,80,100,3,33,200
8,-1536859519,20,80,100,7,33,200
12,-1536843833,20,80,100,11,33,200
16,-1536810934,20,80,100,15,33,200
3,-1536885009,20,80,100,2,33,200
7,-1536851583,20,80,100,6,33,200
11,-1536825836,20,80,100,10,33,200
15,-1536800891,20,80,100,14,33,200
2,-1536884848,20,80,100,1,33,200
6,-1536858084,20,80,100,5,33,200
10,-1536832549,20,80,100,9,33,200
14,-1536802140,20,80,100,13,33,200
1,-1536885581,20,80,100,0,33,200
5,-1536852719,20,80,100,4,33,200
9,-1536825364,20,80,100,8,33,200
13,-1536799220,20,80,100,12,33,200
